Наименование оборудования,Схема,Дата следующего пересмотра схемы,номер схемы,cellNumber
"шкаф ЯУР РЛС-500 ВШТ-11, РТС-500 ВЛТ-20",4/29/2025,4/28/2028,,яч.№9
шкаф кл.сборок (левый) (РТС-500 ВЛТ-20 ф.С),2/4/2025,2/4/2028,,яч.№9
шкаф кл.сборок (правый) (РТС-500 ВЛТ-20 ф.С),2/4/2025,2/4/2028,,яч.№9
шкаф обогрева 1 ступени В-500 ВЛТ-20,4/15/2025,4/14/2028,,яч.№9
шкаф обогрева 2 ступени В-500 ВЛТ-20,4/15/2025,4/14/2028,,яч.№9
шкаф питания (силовой) ЯУР ,4/29/2025,4/28/2028,,яч.№9
"шкаф перевода питания 1ТН-500, 2ТН-500",1/21/2025,1/21/2028,,яч.№9
шкаф кл.сборок ТТ-500 ВЛТ-20,2/4/2025,2/4/2028,,яч.№9
шкаф кл.сборок (РЛС-500 ВЛТ-20 ф.С),2/4/2025,2/4/2028,,яч.№9
"шкаф ЯУР РЛС-500 ВЛТ-20, ЛР-500 СГРЭС-1 ",4/29/2025,4/28/2028,,яч.№9
шкаф кл.сборок ЛР-500 СГРЭС-1 ф.С,2/4/2025,2/4/2028,,яч.№9
шкаф ТН-500 СГРЭС-1,4/21/2025,4/20/2028,,яч.№9
шкаф кл.сборок (ТР-500 2АТГ ф.С),2/4/2025,2/4/2028,,яч.№10
шкаф кл.сборок (левый) (РТС-500 ВШТ-22 ф.С),2/4/2025,2/4/2028,,яч.№10
шкаф кл.сборок (правый) (РТС-500 ВШТ-22 ф.С),2/4/2025,2/4/2028,,яч.№10
"шкаф ЯУР ТР-500 2АТГ, РТС-500 ВШТ-22",4/29/2025,4/28/2028,,яч.№10
шкаф обогрева 1 ступени В-500 ВШТ-22,4/15/2025,4/14/2028,,яч.№10
шкаф обогрева 2 ступени В-500 ВШТ-22,4/15/2025,4/14/2028,,яч.№10
шкаф кл.сборок ТТ-500 ВШТ-22,2/4/2025,2/4/2028,,яч.№10
шкаф ЯУР ШР-500 ВШТ-22,4/29/2025,4/28/2028,,яч.№10
шкаф кл.сборок (левый) (ШР-500 ВШТ-22 ф.С),2/4/2025,2/4/2028,,яч.№10
шкаф кл.сборок (правый) (ШР-500 ВШТ-22 ф.С),2/4/2025,2/4/2028,,яч.№10
ШАОТ 2АТГ ф.В,4/15/2025,4/14/2028,,2АТГ
ШАОТ 2АТГ ф.А,4/15/2025,4/14/2028,,2АТГ
шкаф кл.сборок №1 2АТГ,4/15/2025,4/14/2028,,2АТГ
шкаф кл.сборок №2 2АТГ,4/15/2025,4/14/2028,,2АТГ
шкаф кл.сборок №3 2АТГ,4/15/2025,4/14/2028,,2АТГ
шкаф кл.сборок №4 2АТГ,4/15/2025,4/14/2028,,2АТГ
шкаф кл.сборок №5 КИВ-500 2АТГ,4/15/2025,4/14/2028,,2АТГ
Компрессорная №1,1/27/2029,1/27/2032,,Компрессорная
Сварочный пост,1/30/2026,1/29/2029,,Компрессорная
ШСК-1,4/17/2025,4/16/2028,,Компрессорная
ШСК-2,4/17/2025,4/16/2028,,Компрессорная
ШСК-3,4/17/2025,4/16/2028,,Компрессорная
ШС-2 (вентиляция),2/22/2026,2/21/2029,,Компрессорная
ЩО,4/29/2025,4/28/2028,,Компрессорная
шкаф обогрева,11/10/2025,11/9/2028,,Компрессорная
технологическая карта уставок,4/18/2025,4/17/2028,,Компрессорная
технологическая схема компрессорной №1,2/22/2026,2/21/2029,,Компрессорная
Электропитание здания группы баллонов компрессорной №1,6/19/2025,6/18/2028,9.2.2.30,Баллонная
Ш-1 баллонная №1,9/15/2025,9/14/2028,9.2.2.30.1,Баллонная
Ш-2 баллонная №1,9/28/2023,9/27/2026,9.2.2.30.2,Баллонная
Ш-3 баллонная №1,9/15/2025,9/14/2028,9.2.2.30.3,Баллонная
Технологическая схема баллонов 230 кгс/см компрессорной №1,3/18/2024,3/18/2027,,Баллонная